"Network.size","Bubble.size","PCR.frequency","R","Percentage.infected","sd"
20,"10","monthly",1,17.9090909090909,10.1849193068637
20,"10","monthly",1.5,22.8181818181818,15.8045670534768
20,"10","monthly",2,33.7272727272727,20.4470604899781
20,"10","monthly",2.5,34.5454545454545,23.6549235487151
20,"10","monthly",3,41.2727272727273,24.5064080294449
20,"10","none",1,22.9090909090909,14.788376683631
20,"10","none",1.5,27.3636363636364,16.7052197318875
20,"10","none",2,37.8181818181818,21.3325176796074
20,"10","none",2.5,44.2727272727273,26.4957334021959
20,"10","none",3,57,28.8875241426968
20,"10","semiweekly",1,15.8333333333333,6.02414496676874
20,"10","semiweekly",1.5,20.8333333333333,14.0365405864533
20,"10","semiweekly",2,26.6666666666667,14.0315868045498
20,"10","semiweekly",2.5,31.2222222222222,19.1346599646796
20,"10","semiweekly",3,34.6666666666667,21.4569439794865
20,"10","weekly",1,20.1818181818182,9.40587428869346
20,"10","weekly",1.5,23.7272727272727,15.8176822259771
20,"10","weekly",2,29.9090909090909,18.6323170384585
20,"10","weekly",2.5,37.7272727272727,20.7922066968169
20,"10","weekly",3,38.4545454545455,20.6613449348999
20,"10","workday",1,15,6.88805164574516
20,"10","workday",1.5,19.3636363636364,12.3828284040176
20,"10","workday",2,19.8181818181818,9.73947290404226
20,"10","workday",2.5,23.4545454545455,11.6547321015254
20,"10","workday",3,28.9090909090909,18.2663512663749
20,"5","monthly",1,18.2727272727273,10.2974990682391
20,"5","monthly",1.5,22.4545454545455,13.3343010044785
20,"5","monthly",2,30.9090909090909,22.1163749548008
20,"5","monthly",2.5,37.1818181818182,22.9995960842754
20,"5","monthly",3,47.7272727272727,27.2159883139874
20,"5","none",1,16.1818181818182,9.00950614971276
20,"5","none",1.5,21.1818181818182,13.2688248164868
20,"5","none",2,33.7272727272727,20.9321588800953
20,"5","none",2.5,36,22.3075712982448
20,"5","none",3,47.7272727272727,25.3950211694944
20,"5","semiweekly",1,15.1111111111111,6.71101305360529
20,"5","semiweekly",1.5,21.6111111111111,12.1820583662536
20,"5","semiweekly",2,22.5,12.1230711572001
20,"5","semiweekly",2.5,27.6666666666667,18.6621505210135
20,"5","semiweekly",3,31.0555555555556,19.3971209353577
20,"5","weekly",1,15,7.70107585620774
20,"5","weekly",1.5,23.4545454545455,14.1315743460173
20,"5","weekly",2,26.5454545454545,15.7498907212269
20,"5","weekly",2.5,32.2727272727273,22.3773661599721
20,"5","weekly",3,36.5454545454545,21.0116566378022
20,"5","workday",1,14.3636363636364,6.69012682597109
20,"5","workday",1.5,16.6363636363636,8.05175692928617
20,"5","workday",2,20.1818181818182,9.83270817053072
20,"5","workday",2.5,22.1818181818182,12.1863434829759
20,"5","workday",3,23.4545454545455,12.6315243773487
20,"none","monthly",1,22.3846153846154,13.6960978353847
20,"none","monthly",1.5,33.2307692307692,22.8459476042759
20,"none","monthly",2,46.6153846153846,27.7792734640061
20,"none","monthly",2.5,45.9230769230769,28.0939273853874
20,"none","monthly",3,63,26.4370904807322
20,"none","none",1,25.2307692307692,14.709920678976
20,"none","none",1.5,32.0769230769231,20.9145141966906
20,"none","none",2,43.1538461538462,25.7086181743214
20,"none","none",2.5,53.8461538461538,31.8993550232945
20,"none","none",3,70.0769230769231,24.6658581526076
20,"none","semiweekly",1,21.7924528301887,12.1714688549924
20,"none","semiweekly",1.5,19.7222222222222,8.54748924330154
20,"none","semiweekly",2,27.1111111111111,12.6336630709598
20,"none","semiweekly",2.5,37.5,21.7075567492578
20,"none","semiweekly",3,40.2222222222222,21.2107271209786
20,"none","weekly",1,20.3846153846154,10.0656675793344
20,"none","weekly",1.5,27.8461538461538,18.6746269148371
20,"none","weekly",2,30.6153846153846,19.5534186866692
20,"none","weekly",2.5,46.3076923076923,23.459923192571
20,"none","weekly",3,48.6923076923077,28.5892165832382
20,"none","workday",1,16.9230769230769,8.27257049544392
20,"none","workday",1.5,18.6153846153846,9.35858407647381
20,"none","workday",2,27.6153846153846,16.5995800814175
20,"none","workday",2.5,27,18.9378450545103
20,"none","workday",3,33.8461538461538,20.2943089155303
50,"10","monthly",1,20.5818181818182,6.82067196287988
50,"10","monthly",1.5,29.7636363636364,14.8261994829478
50,"10","monthly",2,31.6363636363636,17.1971857699867
50,"10","monthly",2.5,46.3454545454545,18.470945997749
50,"10","monthly",3,60.0181818181818,17.133536190045
50,"10","none",1,18.2181818181818,8.07512832170963
50,"10","none",1.5,29.0727272727273,13.1066018711118
50,"10","none",2,41.5090909090909,18.4142050127294
50,"10","none",2.5,48.5090909090909,21.3323310425908
50,"10","none",3,62.5818181818182,18.3654019662756
50,"10","semiweekly",1,16.4222222222222,5.76510498999524
50,"10","semiweekly",1.5,19.8,8.13703545155932
50,"10","semiweekly",2,24.7555555555556,10.7621789779753
50,"10","semiweekly",2.5,30.1333333333333,12.7001878713999
50,"10","semiweekly",3,35.3555555555556,14.9885466923608
50,"10","weekly",1,17.8545454545455,5.4418565082275
50,"10","weekly",1.5,23.3454545454545,11.1855912624758
50,"10","weekly",2,26.8727272727273,11.892238997525
50,"10","weekly",2.5,33.5272727272727,16.6838950989726
50,"10","weekly",3,43.0181818181818,16.3386726192651
50,"10","workday",1,15.2,5.10617202028388
50,"10","workday",1.5,16.9818181818182,5.94221231471065
50,"10","workday",2,20.4363636363636,7.66726770289586
50,"10","workday",2.5,19.6363636363636,8.11496687969377
50,"10","workday",3,27.4,14.6449463145054
50,"25","monthly",1,23.5636363636364,9.74635180926247
50,"25","monthly",1.5,31.4909090909091,15.9662883072185
50,"25","monthly",2,42.0181818181818,15.6821658309464
50,"25","monthly",2.5,56,19.9990875704277
50,"25","monthly",3,66.8,17.0287434119427
50,"25","none",1,22.4363636363636,8.9090367399461
50,"25","none",1.5,40.0545454545455,14.204474186948
50,"25","none",2,50.3454545454545,18.2453055474254
50,"25","none",2.5,62.6909090909091,20.0035331981981
50,"25","none",3,72.8909090909091,17.3738127539263
50,"25","semiweekly",1,17.6888888888889,6.00267727521639
50,"25","semiweekly",1.5,23.9555555555556,8.61474421107624
50,"25","semiweekly",2,29.8666666666667,14.3639333277888
50,"25","semiweekly",2.5,33.0777777777778,14.2878619251894
50,"25","semiweekly",3,38.9888888888889,19.3908883367472
50,"25","weekly",1,18,6.6508327781065
50,"25","weekly",1.5,25.2909090909091,10.1389484029648
50,"25","weekly",2,32.3090909090909,14.3901232441128
50,"25","weekly",2.5,41.4,17.0418120416883
50,"25","weekly",3,50.5636363636364,19.7786691451158
50,"25","workday",1,14.9454545454545,5.88024709563918
50,"25","workday",1.5,16.7272727272727,6.82806185284113
50,"25","workday",2,18.5454545454545,8.52180154229204
50,"25","workday",2.5,23.3818181818182,10.2014220224776
50,"25","workday",3,29.7454545454545,12.7299551633349
50,"5","monthly",1,18.1090909090909,5.40907836258464
50,"5","monthly",1.5,25.6,9.82622738010613
50,"5","monthly",2,30.7636363636364,13.2768989271878
50,"5","monthly",2.5,41.2545454545455,17.1694200466379
50,"5","monthly",3,51.4,19.7609805011028
50,"5","none",1,19.1636363636364,7.17549468363522
50,"5","none",1.5,26.6909090909091,12.3111615242286
50,"5","none",2,34.4363636363636,13.9991705129185
50,"5","none",2.5,48,17.4746949473703
50,"5","none",3,52.0363636363636,18.2720356282127
50,"5","semiweekly",1,16.0666666666667,4.82346876692438
50,"5","semiweekly",1.5,19.0222222222222,8.27902959198994
50,"5","semiweekly",2,23.8888888888889,9.42559935094099
50,"5","semiweekly",2.5,26.1555555555556,10.6985295332477
50,"5","semiweekly",3,29.6888888888889,12.2738899594775
50,"5","weekly",1,18.8363636363636,6.94809651075461
50,"5","weekly",1.5,20.6909090909091,8.52833989046671
50,"5","weekly",2,25.8181818181818,11.2650400828852
50,"5","weekly",2.5,29.4363636363636,13.4405471576303
50,"5","weekly",3,38.2545454545455,18.5930469126772
50,"5","workday",1,14.7636363636364,5.41005969030726
50,"5","workday",1.5,17.0545454545455,5.91736952624666
50,"5","workday",2,17.8545454545455,7.85688173369728
50,"5","workday",2.5,21.9272727272727,9.20142512259173
50,"5","workday",3,21.4181818181818,8.60887953807742
50,"none","monthly",1,27.2,10.760008261046
50,"none","monthly",1.5,38.5692307692308,14.8562756731152
50,"none","monthly",2,56.5230769230769,14.1586117539687
50,"none","monthly",2.5,61.9538461538462,20.6098612747971
50,"none","monthly",3,77.0307692307692,14.572053024359
50,"none","none",1,27.0461538461538,11.4239713982101
50,"none","none",1.5,37.3230769230769,16.0257390310394
50,"none","none",2,58.5538461538462,17.725644714137
50,"none","none",2.5,73.5384615384615,17.7108783993119
50,"none","none",3,83.5076923076923,6.84060831558535
50,"none","semiweekly",1,19.1111111111111,6.5838384462405
50,"none","semiweekly",1.5,24.6666666666667,9.44747201504044
50,"none","semiweekly",2,31.5777777777778,13.2049623073674
50,"none","semiweekly",2.5,39.2777777777778,17.4133978425291
50,"none","semiweekly",3,48.1111111111111,18.5823749692607
50,"none","weekly",1,22.1230769230769,8.63439091961364
50,"none","weekly",1.5,26.6769230769231,10.4425348317925
50,"none","weekly",2,37.9538461538462,15.0415379282793
50,"none","weekly",2.5,54.4153846153846,16.8067192505204
50,"none","weekly",3,58.8615384615385,20.5974624793637
50,"none","workday",1,15.1692307692308,4.56627881148704
50,"none","workday",1.5,17.4153846153846,7.79935955682748
50,"none","workday",2,22.9538461538462,12.9343436618915
50,"none","workday",2.5,26.4923076923077,13.2917442548799
50,"none","workday",3,33.8,15.703856568089
100,"10","monthly",1,20.5818181818182,6.24818487245681
100,"10","monthly",1.5,30.0363636363636,8.45331454960628
100,"10","monthly",2,39.8,11.3911862458478
100,"10","monthly",2.5,48.2,13.5751490427489
100,"10","monthly",3,62.7090909090909,11.6607657209865
100,"10","none",1,22.5636363636364,6.32387330596635
100,"10","none",1.5,29.8727272727273,9.62253768950438
100,"10","none",2,40.7454545454545,14.4891328291016
100,"10","none",2.5,52.9272727272727,12.9130366783908
100,"10","none",3,64.1272727272727,11.2374090862971
100,"10","semiweekly",1,17.7222222222222,4.86074781911368
100,"10","semiweekly",1.5,18.7777777777778,6.12036804090441
100,"10","semiweekly",2,25.5333333333333,7.92091049923042
100,"10","semiweekly",2.5,30.6666666666667,11.2677989220289
100,"10","semiweekly",3,37.1333333333333,12.3241355034162
100,"10","weekly",1,18.0909090909091,5.39759586680407
100,"10","weekly",1.5,24.3090909090909,7.19355126675773
100,"10","weekly",2,28.4909090909091,8.5390317389708
100,"10","weekly",2.5,33.6181818181818,10.8649488480375
100,"10","weekly",3,45.3454545454545,11.6584892502933
100,"10","workday",1,15.3090909090909,3.88649508697084
100,"10","workday",1.5,17.7454545454545,5.19059432140701
100,"10","workday",2,21.0545454545455,6.75542005106692
100,"10","workday",2.5,25.4727272727273,8.22772273274654
100,"10","workday",3,26.6,10.2888927425945
100,"25","monthly",1,22.8,7.08756493037882
100,"25","monthly",1.5,36.0545454545455,11.0496857005507
100,"25","monthly",2,46.5818181818182,12.599517585903
100,"25","monthly",2.5,61.7636363636364,13.6054460386671
100,"25","monthly",3,71.4181818181818,11.9986174828464
100,"25","none",1,26.0363636363636,8.06896287704198
100,"25","none",1.5,39.2181818181818,11.6920506232671
100,"25","none",2,54.7636363636364,13.6456239293786
100,"25","none",2.5,67.8727272727273,12.4807216965881
100,"25","none",3,76.9272727272727,9.2646698537153
100,"25","semiweekly",1,19.1444444444444,5.87515859935238
100,"25","semiweekly",1.5,23.3888888888889,8.70438300656079
100,"25","semiweekly",2,27.9222222222222,9.56475242430909
100,"25","semiweekly",2.5,36.5444444444444,11.6590048468145
100,"25","semiweekly",3,44.5,11.8755598193668
100,"25","weekly",1,21.7090909090909,6.87657805982549
100,"25","weekly",1.5,26.9636363636364,8.85603352490794
100,"25","weekly",2,33,10.9294352436219
100,"25","weekly",2.5,47.2363636363636,11.1916999295255
100,"25","weekly",3,55.8909090909091,11.9742313458452
100,"25","workday",1,15.6545454545455,4.62545394031205
100,"25","workday",1.5,18.7818181818182,5.97039811205723
100,"25","workday",2,21.5454545454545,7.97536851725768
100,"25","workday",2.5,26.3818181818182,9.43377011485653
100,"25","workday",3,33.4363636363636,12.0108886674806
100,"5","monthly",1,19.3818181818182,6.10280212381509
100,"5","monthly",1.5,26.9818181818182,8.31077681571886
100,"5","monthly",2,34.0363636363636,10.2859901112152
100,"5","monthly",2.5,43.3818181818182,12.966113765165
100,"5","monthly",3,52.7272727272727,13.9137784798355
100,"5","none",1,22.3818181818182,5.90215508423443
100,"5","none",1.5,26.2727272727273,8.07233390362575
100,"5","none",2,35.3818181818182,11.0794919859871
100,"5","none",2.5,46.0363636363636,13.4909589032826
100,"5","none",3,58.3272727272727,12.7038912158397
100,"5","semiweekly",1,16.8111111111111,4.72348743837872
100,"5","semiweekly",1.5,19.6444444444444,6.7422119387276
100,"5","semiweekly",2,21.8,6.90826591345719
100,"5","semiweekly",2.5,27.6222222222222,8.67607372867736
100,"5","semiweekly",3,31.5888888888889,12.7549806576998
100,"5","weekly",1,18.2727272727273,5.47207424560705
100,"5","weekly",1.5,22.0727272727273,6.66961337221562
100,"5","weekly",2,27.3818181818182,10.102559676172
100,"5","weekly",2.5,34.7636363636364,11.4766720492981
100,"5","weekly",3,40.2909090909091,13.6626091160023
100,"5","workday",1,14.5090909090909,3.48548987683029
100,"5","workday",1.5,18.7818181818182,5.19928023194799
100,"5","workday",2,19.2181818181818,5.76830918404465
100,"5","workday",2.5,21.4363636363636,7.42791056366045
100,"5","workday",3,27.6181818181818,8.01797913335274
100,"50","monthly",1,27.1636363636364,8.78112532145406
100,"50","monthly",1.5,39.8181818181818,11.883084507487
100,"50","monthly",2,57.4909090909091,12.7895268616834
100,"50","monthly",2.5,72.7454545454545,10.1002604971433
100,"50","monthly",3,80.3636363636364,9.04442328553988
100,"50","none",1,29.6181818181818,10.9885323586673
100,"50","none",1.5,48.8181818181818,9.74883655624599
100,"50","none",2,63.5454545454545,14.0694551664055
100,"50","none",2.5,77.3090909090909,8.20333012153883
100,"50","none",3,82.6909090909091,7.02153290621209
100,"50","semiweekly",1,18.4777777777778,5.10670953396061
100,"50","semiweekly",1.5,26.9888888888889,8.94364315787254
100,"50","semiweekly",2,30.8111111111111,10.9553593575393
100,"50","semiweekly",2.5,44.0666666666667,12.7129688628628
100,"50","semiweekly",3,49.7444444444444,14.4653020549083
100,"50","weekly",1,21.9272727272727,7.31425601650526
100,"50","weekly",1.5,31.3636363636364,8.72190722036853
100,"50","weekly",2,43.3818181818182,12.6483761819379
100,"50","weekly",2.5,51.4909090909091,10.6877935820397
100,"50","weekly",3,63.4,12.8687932385309
100,"50","workday",1,16.9454545454545,4.77760202279918
100,"50","workday",1.5,19.4545454545455,6.67498375245619
100,"50","workday",2,25.6727272727273,9.73565676304532
100,"50","workday",2.5,29.5818181818182,9.9903071803655
100,"50","workday",3,37.0909090909091,11.8156038227458
100,"none","monthly",1,28.5692307692308,8.52369469889895
100,"none","monthly",1.5,45.9846153846154,12.446790834961
100,"none","monthly",2,63.4307692307692,12.6612674052676
100,"none","monthly",2.5,72.8615384615385,10.5187617844347
100,"none","monthly",3,81.4,8.0733519894576
100,"none","none",1,34.6307692307692,12.3360472874443
100,"none","none",1.5,46.0923076923077,12.4879238913003
100,"none","none",2,67.1692307692308,13.3305196461386
100,"none","none",2.5,80.5846153846154,9.18918498060559
100,"none","none",3,87.0153846153846,4.47728253289785
100,"none","semiweekly",1,19.1666666666667,5.87646273178366
100,"none","semiweekly",1.5,27.6888888888889,9.2085519622994
100,"none","semiweekly",2,35.3333333333333,11.7074080727538
